Service Month,Health Authority Code,Health Authority Name,Disease,Distinct Client Count,Dispense Count,Dispensed Days Supplied,Dispensed Tablets,Distinct Prescriber Count
2017-05,1,Interior,Total,1624,2238,103633,169118.5,580
2017-05,2,Fraser,Other,1044,1567,65260,102531,490
2017-05,2,Fraser,RA/Lupus,1490,2202,93564,149194.5,529
2017-05,2,Fraser,Total,2534,3769,158824,251725.5,828
2017-05,3,Vancouver Coastal,Other,519,742,36223,53416.5,259
2017-05,3,Vancouver Coastal,RA/Lupus,724,1029,50831,73479.5,294
2017-05,3,Vancouver Coastal,Total,1243,1771,87054,126896,467
2017-05,4,Vancouver Island,Other,642,818,40784,66656.5,310
2017-05,4,Vancouver Island,RA/Lupus,604,747,38548,63934,295
2017-05,4,Vancouver Island,Total,1246,1565,79332,130590.5,501
2017-05,5,Northern,Other,210,254,12507,20703,140
2017-05,5,Northern,RA/Lupus,290,357,16341,27186,181
2017-05,5,Northern,Total,500,611,28848,47889,248
2017-05,9,Other/Unknown,Other,202,208,18999,33129,16
2017-05,9,Other/Unknown,RA/Lupus,5,6,219,388.5,6
2017-05,9,Other/Unknown,Total,207,214,19218,33517.5,22
2017-05,Total,Total,Other,3258,4503,213716,341946,1435
2017-05,Total,Total,RA/Lupus,4096,5665,263193,417791,1560
2017-05,Total,Total,Total,7354,10168,476909,759737,2414
2017-06,1,Interior,Other,606,866,37180,60742,313
2017-06,1,Interior,RA/Lupus,949,1263,61139,99338,379
2017-06,1,Interior,Total,1555,2129,98319,160080,562
2017-06,2,Fraser,Other,1024,1530,62853,97639.5,473
2017-06,2,Fraser,RA/Lupus,1539,2192,96122,152355,517
2017-06,2,Fraser,Total,2563,3722,158975,249994.5,807
2017-06,3,Vancouver Coastal,Other,501,721,34574,50116,250
2017-06,3,Vancouver Coastal,RA/Lupus,731,1014,51928,76829.5,280
2017-06,3,Vancouver Coastal,Total,1232,1735,86502,126945.5,460
2017-06,4,Vancouver Island,Other,642,810,40056,66546.5,334
2017-06,4,Vancouver Island,RA/Lupus,639,789,40443,66493.5,318
2017-06,4,Vancouver Island,Total,1281,1599,80499,133040,538
2017-06,5,Northern,Other,211,252,11746,19267,134
2017-06,5,Northern,RA/Lupus,285,341,16348,27745,183
2017-06,5,Northern,Total,496,593,28094,47012,251
2017-06,9,Other/Unknown,Other,231,238,21038,37832,19
2017-06,9,Other/Unknown,RA/Lupus,6,6,388,537,6
2017-06,9,Other/Unknown,Total,237,244,21426,38369,25
2017-06,Total,Total,Other,3214,4417,207447,332143,1422
2017-06,Total,Total,RA/Lupus,4148,5605,266368,423298,1546
2017-06,Total,Total,Total,7362,10022,473815,755441,2411
2017-07,1,Interior,Other,627,858,38904,63040,330
2017-07,1,Interior,RA/Lupus,976,1288,63311,103413,398
2017-07,1,Interior,Total,1603,2146,102215,166453,603
2017-07,2,Fraser,Other,979,1438,60121,95226,460
2017-07,2,Fraser,RA/Lupus,1515,2171,95127,150404.5,545
2017-07,2,Fraser,Total,2494,3609,155248,245630.5,804
2017-07,3,Vancouver Coastal,Other,494,712,33578,49772.5,257
2017-07,3,Vancouver Coastal,RA/Lupus,703,991,48666,70578,283
2017-07,3,Vancouver Coastal,Total,1197,1703,82244,120350.5,465
2017-07,4,Vancouver Island,Other,620,785,39203,64502,307
2017-07,4,Vancouver Island,RA/Lupus,620,760,39880,66345,320
2017-07,4,Vancouver Island,Total,1240,1545,79083,130847,521
2017-07,5,Northern,Other,214,253,11732,19050,133
2017-07,5,Northern,RA/Lupus,271,327,15016,25507,179
2017-07,5,Northern,Total,485,580,26748,44557,240
2017-07,9,Other/Unknown,Other,177,181,15423,27975,25
2017-07,9,Other/Unknown,RA/Lupus,5,6,308,482,5
2017-07,9,Other/Unknown,Total,182,187,15731,28457,29
2017-07,Total,Total,Other,3111,4227,198961,319565.5,1410
2017-07,Total,Total,RA/Lupus,4089,5543,262308,416729.5,1596
2017-07,Total,Total,Total,7200,9770,461269,736295,2437
2017-08,1,Interior,Other,601,889,37553,60860,325
2017-08,1,Interior,RA/Lupus,968,1282,63081,103223,403
2017-08,1,Interior,Total,1569,2171,100634,164083,588
2017-08,2,Fraser,Other,1020,1500,63494,99612,471
2017-08,2,Fraser,RA/Lupus,1516,2204,95874,153176.5,549
2017-08,2,Fraser,Total,2536,3704,159368,252788.5,819
2017-08,3,Vancouver Coastal,Other,491,697,33698,48404.5,254
2017-08,3,Vancouver Coastal,RA/Lupus,734,1029,51304,75178.5,293
2017-08,3,Vancouver Coastal,Total,1225,1726,85002,123583,462
2017-08,4,Vancouver Island,Other,631,808,40141,64482.5,325
2017-08,4,Vancouver Island,RA/Lupus,664,841,44141,72439,336
2017-08,4,Vancouver Island,Total,1295,1649,84282,136921.5,538
2017-08,5,Northern,Other,218,265,12801,20819,149
2017-08,5,Northern,RA/Lupus,286,342,15965,26577,197
2017-08,5,Northern,Total,504,607,28766,47396,272
2017-08,9,Other/Unknown,Other,211,215,19267,32912,19
2017-08,9,Other/Unknown,RA/Lupus,7,7,420,630,7
2017-08,9,Other/Unknown,Total,218,222,19687,33542,26
2017-08,Total,Total,Other,3170,4374,206954,327090,1427
2017-08,Total,Total,RA/Lupus,4174,5705,270785,431224,1638
2017-08,Total,Total,Total,7344,10079,477739,758314,2466
2017-09,1,Interior,Other,582,825,35703,57464,299
2017-09,1,Interior,RA/Lupus,934,1220,59380,94925.5,376
2017-09,1,Interior,Total,1516,2045,95083,152389.5,561
2017-09,2,Fraser,Other,995,1437,62184,96239.5,495
2017-09,2,Fraser,RA/Lupus,1462,2101,91490,144409,530
2017-09,2,Fraser,Total,2457,3538,153674,240648.5,835
2017-09,3,Vancouver Coastal,Other,494,660,34453,50203,242
2017-09,3,Vancouver Coastal,RA/Lupus,695,961,47396,69319.5,269
2017-09,3,Vancouver Coastal,Total,1189,1621,81849,119522.5,439
2017-09,4,Vancouver Island,Other,626,778,41239,68286,308
2017-09,4,Vancouver Island,RA/Lupus,628,764,40682,66573.5,313
2017-09,4,Vancouver Island,Total,1254,1542,81921,134859.5,504
2017-09,5,Northern,Other,200,235,10831,17482,137
2017-09,5,Northern,RA/Lupus,297,347,15747,26526,183
2017-09,5,Northern,Total,497,582,26578,44008,259
2017-09,9,Other/Unknown,Other,212,216,19345,34538,22
2017-09,9,Other/Unknown,RA/Lupus,6,7,390,495,6
2017-09,9,Other/Unknown,Total,218,223,19735,35033,28
2017-09,Total,Total,Other,3109,4151,203755,324212.5,1399
2017-09,Total,Total,RA/Lupus,4022,5400,255085,402248.5,1542
2017-09,Total,Total,Total,7131,9551,458840,726461,2394
2017-10,1,Interior,Other,644,928,42067,66938,311
2017-10,1,Interior,RA/Lupus,992,1309,67014,108545,389
2017-10,1,Interior,Total,1636,2237,109081,175483,563
2017-10,2,Fraser,Other,1016,1520,65655,103299.5,462
2017-10,2,Fraser,RA/Lupus,1609,2323,104589,165754,551
2017-10,2,Fraser,Total,2625,3843,170244,269053.5,822
2017-10,3,Vancouver Coastal,Other,519,687,36304,52658.5,247
2017-10,3,Vancouver Coastal,RA/Lupus,749,1060,53299,78494.5,312
2017-10,3,Vancouver Coastal,Total,1268,1747,89603,131153,485
2017-10,4,Vancouver Island,Other,599,749,39897,63848,327
2017-10,4,Vancouver Island,RA/Lupus,616,762,40765,66674,334
2017-10,4,Vancouver Island,Total,1215,1511,80662,130522,537
2017-10,5,Northern,Other,214,249,12187,19501,136
2017-10,5,Northern,RA/Lupus,294,360,16496,26836.5,187
2017-10,5,Northern,Total,508,609,28683,46337.5,254
2017-10,9,Other/Unknown,Other,267,273,24564,44014,14
2017-10,9,Other/Unknown,RA/Lupus,5,5,285,510,5
2017-10,9,Other/Unknown,Total,272,278,24849,44524,19
2017-10,Total,Total,Other,3258,4406,220674,350259,1405
2017-10,Total,Total,RA/Lupus,4264,5819,282448,446814,1637
2017-10,Total,Total,Total,7522,10225,503122,797073,2461
2017-11,1,Interior,Other,617,893,38415,61580,320
2017-11,1,Interior,RA/Lupus,921,1210,60373,97984,354
2017-11,1,Interior,Total,1538,2103,98788,159564,544
2017-11,2,Fraser,Other,999,1434,62894,97701.5,451
2017-11,2,Fraser,RA/Lupus,1520,2202,96779,151838,553
2017-11,2,Fraser,Total,2519,3636,159673,249539.5,821
2017-11,3,Vancouver Coastal,Other,513,712,36046,51227.5,257
2017-11,3,Vancouver Coastal,RA/Lupus,717,1007,49415,71570,301
2017-11,3,Vancouver Coastal,Total,1230,1719,85461,122797.5,478
2017-11,4,Vancouver Island,Other,584,743,37995,61060.5,301
2017-11,4,Vancouver Island,RA/Lupus,624,778,42326,69316.5,329
2017-11,4,Vancouver Island,Total,1208,1521,80321,130377,519
2017-11,5,Northern,Other,205,243,11535,19118,139
2017-11,5,Northern,RA/Lupus,313,366,17172,28587,204
2017-11,5,Northern,Total,518,609,28707,47705,270
2017-11,9,Other/Unknown,Other,203,206,18860,33215,9
2017-11,9,Other/Unknown,RA/Lupus,4,5,182,306,4
2017-11,9,Other/Unknown,Total,207,211,19042,33521,12
2017-11,Total,Total,Other,3120,4231,205745,323902.5,1367
2017-11,Total,Total,RA/Lupus,4097,5568,266247,419601.5,1603
2017-11,Total,Total,Total,7217,9799,471992,743504,2403
2017-12,1,Interior,Other,629,886,40051,66342.5,325
2017-12,1,Interior,RA/Lupus,983,1292,65391,105951.5,372
2017-12,1,Interior,Total,1612,2178,105442,172294,565
2017-12,2,Fraser,Other,1027,1503,66688,103223.5,474
2017-12,2,Fraser,RA/Lupus,1620,2348,106599,165963,561
2017-12,2,Fraser,Total,2647,3851,173287,269186.5,826
2017-12,3,Vancouver Coastal,Other,498,715,33724,49555,229
2017-12,3,Vancouver Coastal,RA/Lupus,720,982,50622,73765.5,280
2017-12,3,Vancouver Coastal,Total,1218,1697,84346,123320.5,442
2017-12,4,Vancouver Island,Other,626,790,43507,71024.5,328
2017-12,4,Vancouver Island,RA/Lupus,640,795,43939,71748.5,333
2017-12,4,Vancouver Island,Total,1266,1585,87446,142773,546
2017-12,5,Northern,Other,205,248,12226,19941,130
2017-12,5,Northern,RA/Lupus,303,360,16973,28273,185
2017-12,5,Northern,Total,508,608,29199,48214,250
2017-12,9,Other/Unknown,Other,237,240,23553,39629,17
2017-12,9,Other/Unknown,RA/Lupus,6,6,454,634,6
2017-12,9,Other/Unknown,Total,243,246,24007,40263,22
2017-12,Total,Total,Other,3222,4382,219749,349715.5,1397
2017-12,Total,Total,RA/Lupus,4271,5783,283978,446335.5,1602
